mean_accI,mean_accRT,mean_accD,stdev_accI,stdev_accRT,stdev_accD
52.434904800000005,52.434904800000005,52.434904800000005,3.529579656177419,3.529579656177419,3.529579656177419
52.434904800000005,52.434904800000005,52.434904800000005,3.529579656177419,3.529579656177419,3.529579656177419
54.0657035,53.5977666,54.084245599999996,1.804579083602862,1.9585538014477926,1.8359257715395063
55.5336899,55.599364,55.650529000000006,2.930956061187333,2.430566268201438,3.013370799161851
56.910467700000005,56.6014999,56.9745904,3.346168795126884,3.3291768770144787,3.295219180041164
58.2188523,57.9860455,58.2224437,3.525321320675607,3.539272507414397,3.567232389943904
58.6583446,57.783822,58.60708459999999,4.016153282121399,3.67774238824146,4.0908997907687255
58.8662967,58.520973500000004,58.8563453,2.936919973268103,3.04453872448036,3.009753613657291
59.69747170000001,59.498156300000005,59.7131493,3.2297081444403695,3.0995335724832698,3.311902440471003
59.0371631,58.9831353,59.02648380000001,2.9513065423757086,3.116278996552104,2.9741311878791232
59.8348446,59.570680700000004,59.824164599999996,3.1637122217118865,3.2584845056372123,3.1756451853538263
59.60689549999999,59.3384597,59.6353881,3.029222070842146,2.926704237972394,2.9925213993442417
61.007167,60.69815150000001,61.02925330000001,3.0750774961653318,2.9945024745658784,3.0501293650697665
61.4871943,61.330599600000006,61.509280000000004,2.807667298258351,2.9582036605860504,2.7797813459224545
62.069106,62.0684741,62.0911926,2.5335367847326724,2.8051535751996988,2.519648328838293
62.850428799999996,62.665337799999996,62.870379,2.3736286000588396,2.464069766823117,2.359671715955985
63.8240699,63.6397094,63.74572500000001,2.6686294734854874,2.6211740182203433,2.538897216119672
64.5063695,64.35122679999999,64.4301572,3.0354793660572628,3.0331401279584753,2.9280365372192807
64.9195019,64.6632028,64.8454294,2.8971358098281375,2.73980888883553,2.7566524378394646
65.4451107,65.43738929999999,65.37103570000001,3.1987651979395304,3.2860049188298546,3.0358171874845623
65.48355339999999,65.5648583,65.4073444,3.117025235062293,3.3172647980548358,2.95933730466367
65.6174308,65.8069827,65.5412209,3.185032108944337,3.429851926277901,3.0274149401024384
65.9728494,66.2257975,65.8873699,3.5557459853508537,3.5093464153234275,3.3531671540739065
66.4165672,66.8262067,66.3289508,3.5518944069678837,3.558582285993869,3.3605932573081936
66.6366535,67.29628,66.58607409999999,3.7446079511124992,3.543029045141238,3.5510541031523593
67.0177032,67.64242970000001,66.9671233,3.830578147274895,3.4708591956594868,3.6188931398955893
67.4144326,68.02134290000001,67.3659878,3.5211836864168955,3.2344185145149336,3.3219252780528
67.4927781,68.1039585,67.4813705,3.120087504742256,2.852362501700857,2.968134995984112
67.91227310000001,68.5540848,67.9008643,3.2270505880898406,2.868868545859064,3.046317391322514
67.716409,68.3019616,67.7050019,3.211131052357341,2.8616595478866698,3.036774624234602
68.2933208,68.7549477,68.2819152,2.9663985479498662,2.9127515559697565,2.8237371954923227
68.27264360000001,68.8781456,68.217792,2.8713465869676007,2.562348961817358,2.75225020793552
68.8210637,69.35890049999999,68.7662117,3.0102334896250196,2.4426489728580543,2.914543957367606
69.1237678,69.720726,69.20852049999999,2.822981888443411,2.277176351996432,2.666539855616483
69.1123603,69.6850968,69.1971153,2.80719585217491,2.400923423691894,2.6970708039821893
69.4015213,70.00061480000001,69.4862747,2.679412357794025,2.3708595227925637,2.560385753192891
69.3858429,70.1067283,69.4748679,2.5266120163075865,2.3651233925931083,2.403773486787271
69.7056335,70.5639868,69.786116,2.5035119041123575,2.3259983535639455,2.3718745722157797
69.7690302,70.462149,69.8495102,2.6274291316720326,2.4932408840249574,2.4994173101821073
70.2284246,71.0127037,70.3089055,2.45698064652253,2.451957254540775,2.335869002071594
70.3829788,71.21711189999999,70.46346,2.4353431061375588,2.51101669809663,2.3233851782957657
70.7939317,71.5561234,70.876548,2.447708244265783,2.434737653868377,2.3458127513051834
70.9420777,71.8267898,71.0246971,2.5561300149651585,2.7598412156202787,2.4613109868622414
71.1129936,71.8915947,71.2326485,2.224462211283896,2.6780230034798267,2.180023997341378
71.0973143,71.8759147,71.2169693,2.3755421854024554,2.838796790207977,2.328896198027346
71.5047225,72.2441513,71.6243781,2.471399081316684,2.9428616417551443,2.4443312187552757
71.3843407,72.0824585,71.4933166,2.380874680288787,2.8778862444162137,2.3570966859497697
71.5802055,72.32817700000001,71.6500084,2.314481825663228,2.462768630345936,2.3556482125638754
71.82378630000001,72.5717553,71.89358680000001,2.314132015912904,2.4317309507158815,2.3599317753601285
71.9149461,72.5752998,71.984748,2.4613235909023725,2.674135019309934,2.5096951203066267
72.1870207,72.8409677,72.25895829999999,2.3035713993482205,2.494973552684635,2.345355030877369
72.34157569999999,72.8665978,72.41351399999999,2.524864960577146,2.6698343575038415,2.5616997528321357
72.3956999,72.8986343,72.4697738,2.465285762218809,2.538131183349982,2.5145804143940556
72.8031067,73.3081772,72.877182,2.4899419425487315,2.4821884988858263,2.5264984461756117
72.82233049999999,73.3188568,72.8964053,2.4667270327447737,2.378752206328574,2.5103269758730637
72.8137871,73.2796836,72.887861,2.7773918333754337,2.5405851045576613,2.816524951143085
72.8287371,73.3031776,72.9028099,2.6166840068523722,2.415695791779861,2.6522172711512932
72.99897089999999,73.3580307,73.0751817,2.7310334751483305,2.546793897394878,2.760434520615189
73.0773171,73.4036086,73.1535272,2.816595190634507,2.5756973512322254,2.833021535320304
73.3736143,73.66073229999999,73.44768819999999,2.5664310495687293,2.4546621710995895,2.5759423228217244
73.62860029999999,73.9655731,73.7026764,2.6107439575348397,2.5528438425072983,2.611515641534931
