mean_accI,mean_accRT,mean_accD,stdev_accI,stdev_accRT,stdev_accD
72.1507823,72.1507823,72.1507823,8.34291349852436,8.34291349852436,8.34291349852436
72.1507823,72.1507823,72.1507823,8.34291349852436,8.34291349852436,8.34291349852436
80.5448082,79.28651740000001,80.6568817,2.7366255287678602,3.0455748524346014,2.934715490102276
81.00180259999999,80.802217,81.1200156,3.4736717778295962,2.896520882171497,3.518712981078079
82.9810447,82.6123811,83.0417373,2.9041734696356505,2.7003900586115925,2.863043567562482
82.9476783,82.4123871,83.0386666,2.895636312597054,2.534114627363635,2.627060145256594
83.96155780000001,83.2444938,83.9556212,2.541784489528207,2.0687871403203495,2.5895006641586678
84.84606629999999,84.216819,84.9095231,2.3379889364149875,2.6320836272950503,2.4482252803441744
85.8355857,85.05803230000001,85.9202285,1.8021349820085963,1.9805451917981816,1.901193051198776
86.1564499,85.14902190000001,86.2229791,2.0537474398572773,1.754483419181805,2.123131548486258
86.6346329,85.5332436,86.7223442,2.3479518569003637,2.1295469192518235,2.4357618925354645
87.1427986,86.0292305,87.2305131,1.9529218828116781,1.9986246185731618,2.0502911732294895
87.8508553,86.9037094,87.9023361,2.0500029251977536,2.1723507023034943,2.145924623823673
88.5921762,87.5662193,88.64969640000001,1.6151026328026898,1.8549701207652936,1.7256132426782333
88.5709884,87.9203484,88.6345489,1.4345907385220207,1.6664018899487343,1.5172942287320015
88.6707809,88.11389679999999,88.7403787,1.466593841420881,1.6956048351875814,1.5554756794377205
88.882441,88.53445280000001,88.9520378,1.7574759948076417,1.7859676889549436,1.8438051476989286
89.3394332,88.9823358,89.409031,1.894373002870449,2.0573095965731976,1.982439048845079
89.7722709,89.3395355,89.84790799999999,1.7424629496014776,1.7781471847383579,1.8343330371856936
89.6541594,89.0882661,89.7297956,1.5984602714420193,1.7310015428711572,1.6486695317954767
90.0898606,89.6178262,90.08986130000001,1.8079445483173653,2.061033286982735,1.801851296174269
90.29261629999999,89.7782077,90.2986542,1.9051649078535038,2.122257742358573,1.8800683893027093
90.4348846,89.9053277,90.4409226,1.6478659103866724,1.8252549586293776,1.6126500956501681
90.6771491,90.0506646,90.7043724,1.3219533890136852,1.5068574884850194,1.2913909264627297
90.689225,90.1051154,90.7376366,1.3076476873837233,1.5894698136945762,1.2842933814070856
90.81623909999999,90.2503465,90.86465150000001,1.2973764756502069,1.5371622131873235,1.2713366237142587
