mean_accI,mean_accRT,mean_accD,stdev_accI,stdev_accRT,stdev_accD
55.5224914,55.5224914,55.5224914,6.579851699928453,6.579851699928453,6.579851699928453
55.5224914,55.5224914,55.5224914,6.579851699928453,6.579851699928453,6.579851699928453
56.534733300000006,56.3844784,56.5699418,5.858633422762326,5.989157602771624,6.281628346428512
57.51988719999999,58.1107655,57.6528062,5.4351153580529905,6.295902321952259,5.520671717176729
58.392206099999996,58.521540800000004,58.5321044,6.149614657285525,6.164302957072237,6.432641828319566
58.8045879,58.96184530000001,58.94448630000001,5.24102999144569,5.795649754164835,5.5337052667983695
57.9186063,58.4465381,57.8697675,4.4852215251269865,4.880209875031457,4.502370380266876
59.589564700000004,59.75396450000001,59.547704599999996,5.332856931600694,5.260370633121466,5.3361345662235316
59.8060802,60.0964317,59.9738969,4.242648779538003,3.9916497622368294,4.191851767999396
61.006724899999995,61.2865234,61.1884937,3.691427141324563,3.264569286860952,3.5657541218949587
