mean_accI,mean_accRT,mean_accD,stdev_accI,stdev_accRT,stdev_accD
64.8533337,64.8533337,64.8533337,4.922791150066078,4.922791150066078,4.922791150066078
64.8533337,64.8533337,64.8533337,4.922791150066078,4.922791150066078,4.922791150066078
70.5200011,70.50666770000001,70.82666689999999,4.43708339674149,4.0357919548982375,4.339107982063812
72.7733337,71.6533326,72.6800011,2.9666781642745375,3.1352716586199674,3.0807741462591807
72.7466668,72.6666649,72.7866654,2.9030073016773024,3.3730959029329726,2.8854337426926606
73.159999,72.8799994,73.2666656,3.60468739282772,3.6102444782995002,3.5087186602869456
73.9599992,73.94666609999999,73.9999986,3.5321735088755446,3.416273070301888,3.454680500852887
74.3333336,73.8000001,74.2399987,2.734869837335763,2.503333170588788,2.7818118160222727
75.01333389999999,74.586667,75.1200013,2.287226135642542,2.1720569280690807,2.410839520598538
75.5066664,74.8800004,75.4933327,1.9757042573737382,1.6452855080412305,2.0548521722703095
75.2133354,74.7733337,75.1999999,1.8650245973324755,1.8268782959355114,1.9555573409103433
75.8800003,75.3199989,75.8666656,1.8156526074996389,1.7229894569167636,1.860306904192496
75.8399994,75.24000170000001,75.85333410000001,1.8558413549713295,1.701764347183242,1.7298538304072881
76.3066657,75.66666649999999,76.33333209999999,1.6924534246394474,1.4784044235310096,1.545043725460973
76.66666719999999,76.0133315,76.759999,1.844309751444865,1.7298533542375614,1.5625879041009696
76.4666679,76.1600013,76.6666656,1.1746275417065832,1.1637303077359114,0.9858246557415977
76.5199997,76.2000007,76.6666673,1.2113867294974203,1.2077929693449623,1.0629576161975873
76.75999970000001,76.33333350000001,76.90666719999999,1.5776845146181124,1.324787112648607,1.4589696354106902
76.69333259999999,76.2666656,76.8399986,1.9319797212871914,1.7621547163786095,1.8992386716412446
76.6399994,76.1600006,76.7999992,2.178051886153019,1.9844317565869904,2.113800460117895
76.9200013,76.4133347,77.0533331,2.0660228839595325,1.9120932641653963,2.033254325850089
76.9733343,76.45333430000001,77.1466682,1.912713633809542,1.8305501578753163,1.8218978556858267
76.6666669,76.0800012,76.7599999,2.106312478432046,2.010539637410798,2.023126598996791
77.04000099999999,76.359999,77.1066664,2.0967241304055455,2.0425586012439805,1.9626639125410477
77.2666665,76.7066665,77.3466682,1.8963250919427883,1.7744990084195766,1.793761216752217
77.15999980000001,76.5733337,77.2266671,1.8846233856352548,1.855044636783472,1.8279601135682169
77.4933326,76.9066673,77.55999829999999,2.0548539617105632,2.0529301595566065,1.9545951169274611
77.5733338,77.2133339,77.7333335,1.7095818557438613,1.768252633483401,1.7075005601674853
77.72000030000001,77.46666719999999,77.8800002,1.5554921983962422,1.582620336934204,1.570657251440925
77.6266668,77.4666655,77.7866675,1.5160707309516186,1.4820742488233816,1.5500861210681338
77.8266662,77.60000219999999,77.9999999,1.285127180337052,1.2539334890939347,1.369871826037057
77.7199981,77.6133323,77.90666730000001,1.1460295185094451,1.2324023116602658,1.238160345035421
77.8533331,77.5733337,78.0533331,1.1631367564023185,1.382501455183808,1.233602848635064
77.7333344,77.4133331,77.93333299999999,1.3553721806793075,1.5678261279305354,1.458224321853808
77.7200003,77.4666654,77.9066658,1.1900000244898261,1.4138634994499741,1.3034429916952688
77.70666800000001,77.3866661,77.8666671,1.3374767915434402,1.5347169338903033,1.3998261444166287
77.4133322,76.9466635,77.5466667,1.561512632903878,1.7771658349581496,1.6344460228146676
77.3066664,76.94666670000001,77.4666657,1.4589699440987047,1.6054845071585815,1.5408839662812637
77.4533347,77.1200005,77.6000008,1.546578848404732,1.6548617696211403,1.6366164916535577
77.5999999,77.2400009,77.7600013,1.5574598724615998,1.6510962789847925,1.6423998286185457
77.64000080000001,77.2266671,77.7600005,1.3928202592479433,1.493754574850785,1.4871284385030414
77.6800025,77.2933342,77.8266662,1.511371794510189,1.5864230774763421,1.591395979467069
77.5466659,77.22666790000001,77.7066658,1.5449794686446288,1.6009870338271845,1.6096021003610266
77.57333129999999,77.30666740000001,77.759999,1.4219453716714257,1.3938839790919317,1.4937557273002242
77.52000050000001,77.1466682,77.6399993,1.1087961929708803,1.1421440803410807,1.2221007345724224
77.4533326,77.0399986,77.5733336,1.254641160842167,1.2985079019281405,1.34777470953727
77.4933327,77.14666600000001,77.6266669,1.2265376172103366,1.2479306129839278,1.3211299712728628
77.4933341,77.14666600000001,77.6266663,1.3136316728298982,1.4071426823181643,1.424719467992056
77.4266677,77.08000100000001,77.5733331,1.1926533063507372,1.3862801918745615,1.2739362605938638
77.37333459999999,76.9733346,77.5200006,1.2123642959851635,1.3627141638472997,1.2822815576530588
77.373333,77.0133331,77.5066659,1.1959617566926366,1.3217268771517938,1.2758732120928402
77.3866669,77.0533332,77.5466667,1.1541877426142548,1.3848560779186327,1.2761048000661188
77.3600005,77.0399994,77.5066673,1.2441264554078126,1.4233345664021346,1.3685008443570676
77.4533356,77.19999920000001,77.6266664,1.1356410352763755,1.3003322804251736,1.2770324071455827
77.4533341,77.25333479999999,77.62666770000001,1.1546138782791258,1.4183285046751943,1.2924095012884576
77.32000120000001,77.1600006,77.50666659999999,1.102097701751103,1.3785676495759558,1.2220993901962474
77.3600005,77.09333430000001,77.533332,1.1045140197247365,1.4191638024833924,1.2077934415880516
77.28000030000001,76.9733329,77.453334,1.1299711679970743,1.459307750316829,1.2356032125134484
77.29333340000001,76.9466674,77.44,1.2665488038768267,1.5529509712244411,1.3181358104620498
77.3866669,77.0666664,77.5333343,1.0001471950980731,1.3913313918627412,1.0615622891913234
